,Company,City,State,Owner/Maker
103,Piety and Desire,New Orleans,Louisiana,Christopher Nobles
104,Bixby & Co.,Rockland,Maine,Kate McAleer
105,Chocolibrium,Annapolis,Maryland,Snigda Kanchi
106,Charm School,Baltimore,Maryland,Joshua Rosen
107,Spagnvola,Gaithersburg,Maryland,Eric and Crisoire Reid
108,Sibu Sura,Myersville,Maryland,Julie McLean
109,Vivra,Boston,Massachusetts,Bob and Paige Leavitt
110,Chequessett,North Truro,Massachusetts,"Katherine Reed, Josiah Mayo"
111,Somerville,Somerville,Massachusetts,Eric Parkes
112,Taza,Somerville,Massachusetts,Alex Whitmore
113,BOHO,Springfield,Massachusetts,Charlie Burke
114,Goodnow Farms,Sudbury,Massachusetts,Tom and Monica Rogan
115,Rogue (closed),Three Rivers,Massachusetts,Colin Gasko
116,Mindo,Dexter,Michigan,"Barbara Wilson, Joe Meza"
117,Perennial,Holland,Michigan,"Andrew Essink, Jason Los"
118,Fresh Coast/Just Good Chocolate (closed),Leland,Michigan,Nichole Warner
119,Davin's,Marquette,Michigan,Davin Makela
120,Crow & Moss,Petoskey,Michigan,Mike Davies
121,Peppalo,Tecumseh,Michigan,John and Erika Aylward
122,Terroir,Fergus Falls,Minnesota,Kristin and Josh Mohagen
123,Meadowlands,Meadowlands,Minnesota,"Clyo Howard, Beryl Wells-Hamilton"
124,K'ul,Minneapolis,Minnesota,"Peter Kelsey, Christian Aldrich"
125,Chocolate Compromiso,St. Paul,Minnesota,Carrie Anderson
126,Two Ravens,St. Paul,Minnesota,Randall Johnson
127,Patric,Columbia,Missouri,Alan Mclure
128,Christopher Elbow,Kansas City,Missouri,Christopher Elbow
129,Askinosie,Springfield,Missouri,Shawn Askinosie
130,Burnt Fork Bend,Stevensville,Montana,Jennifer Wicke
131,Sweet Minou,Lincoln,Nebraska,Rebecca Ankenbrand
132,hexx,Las Vegas,Nevada,Matthew Silverman
133,Source Chocolate,Bow,New Hampshire,Samantha Fox
134,Enna Chocolate,Exeter,New Hampshire,Enna Grazier
135,La Cascade du Chocolat,Exeter,New Hampshire,"Samantha Brown, Thomas Nash"
136,Loon Chocolate,Manchester,New Hampshire,Scott Watson
137,Vicuna,Peterborough,New Hampshire,"Pierre Fabre, Cat Wilder"
138,Portsmouth Cacao,Portsmouth,New Hampshire,"Ben Hagerty, Mackenzie"
139,MaDe Atlantic City Chocolate Bar,Atlantic City,New Jersey,Mark and Deborah Pellegrino
140,Anahata,Edison,New Jersey,Melanie Flores
141,Parre Chocolat,Fair Lawn,New Jersey,Pearl Wong
142,Glennmade (closed),Hoboken,New Jersey,Glenn Petriello
143,Vesta,Montclair,New Jersey,Roger Rodriguez
144,La Chorena,Ridgefield,New Jersey,Marisol and Thomas Forbes
145,Bankston,Spring Lake Heights,New Jersey,Tom and Leah Barlow
146,Earth Dog Chocolate Foundry,Trenton,New Jersy,David Fiscarelli
147,Eldora Craft Chocolate,Albuquerque,New Mexico,Steve Prickett
148,Cacao Santa Fe,Santa Fe,New Mexico,"Melanie Boudar, Mark Sciscenti, Derek Lanter"
149,Chokola,Taos,New Mexico,Javier and Deborah Abad Etxaniz
150,Hi-Bar,Ithaca,New York,Mya Menter
151,Dark Forest,Lancaster,New York,Joanne and Dan Sundell
152,Breeze Mill (closed),New York,New York,Ari Nadin
153,Bronx Grrl Chocolate,New York,New York,Regina Monaco
154,Cacao Market,New York,New York,Maribel Lieberman
155,Cacao Prieto,New York,New York,Daniel Preston
156,Dalloway,New York,New York,"Sara Sugar, Kelechi Anyanwu"
157,Fine & Raw,New York,New York,Daniel Sklaar
158,Jacques Torres,New York,New York,Jacques Torres
159,Johnny Iuzzini,New York,New York,Johnny Iuzzini
160,Mast Brothers,New York,New York,"Rick Mast, Michael Mast"
161,Raaka,New York,New York,"Ryan Cheney, Nate Hodge"
162,Sol Cacao,New York,New York,"Maloney Bros. (Dominic, Nicholas, Daniel)"
163,Gotham,New York,New York,Ron Paprocki
164,Christophe Toury,New York,New York,Christophe Toury
165,Ridgewood,New York,New York,Constantine and Ruby Kalbaxis
166,Adams Chocolate,Nyack,New York,Adam Berrios
167,Fruition,Shokan,New York,Bryan Graham
168,Primo Botanica,Troy,New York,Danielle and Oliver Holecek
169,Tocoti,Walworth,New York,"Dale Montondo, Ellen"
170,French Broad,Asheville,North Carolina,Daniel Ratigan
171,Santosha aka Raw Shakti,Asheville,North Carolina,Don Rowe
172,Potts Chocolate,Charlotte,North Carolina,Blair Potts
173,The Underground Truffle,Charlotte,North Carolina,Esa Weinreb
174,Escazu,Raleigh,North Carolina,Hallot Parson
175,Videri,Raleigh,North Carolina,Sam Ratto
176,Black Mountain,Swamanoa,North Carolina,Brent Peters
177,Conjure Craft Chocolate,Swannanoa Valley,North Carolina,Marjory Rockwell
178,Brasstown aka It's Chocolate,Winston-Salem,North Carolina,"Rom Still, Barbara Price"
179,Maverick,Cincinnati,Ohio,Paul Picton
180,Sweet Bean,Cleveland,Ohio,Bob and Kristin Barnes
181,Ohiyo,Columbus,Ohio,Mike Condo
182,Finca,Logan,Ohio,Dan Hankle
183,Zero Tolerance,Oklahoma City,Oklahoma,Roy and Maura Lapinski Baker
184,Glacier Confection,Tulsa,Oklahoma,Bill and Cynthia Copeland
185,Dagoba,Ashland,Oregon,Hershey (formerly Frederick Schilling)
186,Blue Scorcher,Astoria,Oregon,Peggy Bondurant
187,Seahorse,Bend,Oregon,R.C. and Amanda Gartrell
188,Lillie Belle,Central Point,Oregon,Jeff Shepherd
189,Sanity Chocolate,Cottage Grove,Oregon,Mike Caven
190,Map Chocolate Co.,Eugene,Oregon,Mackenzie Rivers
191,Cocanu,Portland,Oregon,Sebastian Cisneros
192,Creo,Portland,Oregon,Tim Straub
193,Pitch Dark,Portland,Oregon,Brian Flick
194,Ranger,Portland,Oregon,"Rhonda Zender, George and Patrick"
195,Spencer,Portland,Oregon,Robert O'Bymes
196,Treehouse aka Indaphoria,Portland,Oregon,Aaron Koch
197,Woodblock,Portland,Oregon,Charley Wheelock
198,Mana,Portland,Oregon,Holly Hukill
199,Sacred Summit,Portland,Oregon,Dario Barone
200,Wren,Portland,Oregon,Ryan Herron
201,Dulcinea Craft Chocolate,Beaver,Pennsylvania,Laurie Rice
202,Nathan Miller,Chambersburg,Pennsylvania,Nathan Miller
203,Kto (closed),Hermitage,Pennsylvania,Milford Dennison
204,Moka Origins,Honesdale,Pennsylvania,"Jeff Abella, Ishan Tigunait"
205,Chocolate Alchemist,Philadelphia,Pennsylvania,Robert Campbell
206,Love Bar (closed),Philadelphia,Pennsylvania,"Rachel D'Angeli, Joe Bernstein"
207,Shane Confectionery,Philadelphia,Pennsylvania,"Kevin Paschall, Jeffrey Heinbach"
208,Concetta's,North Scituate,Rhode Island,Lori Flynn
209,Bitte Chocolate,Charleston,South Carolina,Michael Hoffman
210,Cocoa Academic,Charleston,South Carolina,Bethany Nunn
211,Night Owl,Greenville,South Carolina,Makesha Duncan
212,Batch Craft,Rock Hill,South Carolina,Tamara and Zan
213,MonChoco,Rapid City,South Dakota,Dana Mroueh
214,Belle Chocolate,Chattonooga,Tennessee,Brendan Patrick
215,Lirio Chocolate,Knoxville,Tennessee,Chris Kopek
216,Unrefined Chocolate,Knoxville,Tennessee,Nathan Hilbert
217,Olive and Sinclair,Nashville,Tennessee,Scott Witherow
218,Arete,Spencer,Tennessee,David and Leslie Senk
219,Sublime,Allen,Texas,Troy Easton
220,Isidro,Austin,Texas,Adam Gretencord
221,Kiskadee,Austin,Texas,Laura Atlas
222,SRSLY,Austin,Texas,Bob Williamson
223,Madhu,Austin,Texas,Harshit Gupta and Elliot Curelop
