COMPANY NAME,CITY,STATE,OWNER/MAKER
Fruition,Shokan,New York,Bryan Graham
Garden Island Chocolate aka Nanea,Kilauea (Kauai),Hawai'I,Koa Kahili
Glacier Confection,Tulsa,Oklahoma,Bill and Cynthia Copeland
Glennmade (closed),Hoboken,New Jersey,Glenn Petriello
Goodnow Farms,Sudbury,Massachusetts,Tom and Monica Rogan
Gotham,New York,New York,Ron Paprocki
Guittard,Burlingame,California,Gary Guittard
Gus Chocolate,Ouray,Colorado,Nathan Montgomery
Harper Macaw,Washington D.C.,Washington D.C.,Sarah and Colin Hartman
Hazel Hill,Topeka,Kansas,Nick and Terry Xidis
Hi-Bar,Ithaca,New York,Mya Menter
hexx,Las Vegas,Nevada,Matthew Silverman
Indi,Seattle,Washington,Erin Andrews
Indulgence,Milwaukee,Wisconsin,Julie Waterman
Isidro,Austin,Texas,Adam Gretencord
Izard,Little Rock,Arkansas,Nathaniel Izard
Jacques Torres,New York,New York,Jacques Torres
Johnny Iuzzini,New York,New York,Johnny Iuzzini
K'ul,Minneapolis,Minnesota,"Peter Kelsey, Christian Aldrich"
Kerchner,Burlington,Vermont,Charles Kerchner
Kiskadee,Austin,Texas,Laura Atlas
Kto (closed),Hermitage,Pennsylvania,Milford Dennison
Kyya aka Forgotten Chocolate,Elm Springs,Arkansas,Rick Boosey
L'Amourette,San Francisco,California,Andre V. Lamourette
La Cascade du Chocolat,Exeter,New Hampshire,"Samantha Brown, Thomas Nash"
La Chorena,Ridgefield,New Jersey,Marisol and Thomas Forbes
LetterPress,Los Angeles,California,David Menkes
Lillie Belle,Central Point,Oregon,Jeff Shepherd
Limited,Mountain View,California,Herbert Czymontek
Lirio Chocolate,Knoxville,Tennessee,Chris Kopek
Lonahana,Honolulu (Oahu),Hawai'I,Seneca Klassen
Loon Chocolate,Manchester,New Hampshire,Scott Watson
Love Bar (closed),Philadelphia,Pennsylvania,"Rachel D'Angeli, Joe Bernstein"
